pos	See on hea film
neg	Paha film
pos	Hea raamat!
neg	Halb lugemiselamus oli!
neg	Võrdlemisi kesine tulemus.
pos	Heatujuline kunstiteos!
pos	Suurepärane lustakas ooper!
neg	Vilets pingutus teatri poolt.
pos	Esita oma idee üleeurooplalisele start-up’ide võistlusele Creative Business Solutions: eGovernance!
pos	Mulle meeldis @YouTube video 137 APU
neu	Mulle siin pisteti pihku üks cd, et kuula. 
neu	Tükk aega pidin otsima, kuni leidsin mingi aparaadi, kuhu see sisse läks.
neu	Kas oled kunagi golfi mänginud?
pos	Aga siis nüüd on Sul selleks ideaalne võimalus!
neu	Šoti suurklubi kaotas Euroopa liigas Luksemburgi neljandale meeskonnale https://t.co/n1uxn6lIZU
neu	Eesistumine on tegelt suur kampaania Uberi ja Taxify seaduse promoks.
pos	Istu sinagi ees ja aita kaaslastel jõuda nende sihtkohta. ;) #EU2017EE
neu	Fotod: president võttis vastu parimad koolilõpetajad https://t.co/tIDpWYSPoj
neu	Täna külastas unenäos mind  President Kaljulaid, huvitav miks unenägude seletaja selle kohta midagi ei pajata
pos	Kui mul oleks euro iga korra eest kui keegi arvab et @m4gnush on Sip€lga 14 ss ma tõenäoliselt omaks juba oma saart
neu	Õndsat hommikuund nautinud mehele teatati 193 165 euro suurusest lotovõidust.
neg	RT @greeeebik: kuule saa suguhaigus omale palun
pos	südamed pole selleks loodud, et neid murda, süda vajab armastust ja hoolt kulla inimesed :)
pos	Snapchat pole sellejaoks :D
neg	Naabrite ustele spraydega munnid, kaunid on eestimaa hommikutunnid😁❤️ @5MIINUST
neu	Ootame Teid sel reedel, 14.07 Tartusse, sisustatud näidismaja kliendipäevale!
neg	Sääsed imevad!
pos	Kas sind imevad eriti chillid keto-sääsed või närvilised glükoosi-sääsed? :D 
neu	Täna algab Strasbourgis EP täiskogu: kolmapäeva hommikul tutvustab PM @ratasjuri #EU2017EE.
neg	mõni inimene on ikka nii uskumatult võimatu, et ma ei tea noh, mõistus tule koju ausalt
neg	Sitt lugu siilike
pos	See on hea restoran!
pos	Super saunamõnu!
neg	Persse kõik!
neg	Väga inetu pask!!
pos	Pakendiaruanded kuluefektiivsemaks
neg	Ma olen nii vihane!
pos	Ma olen sinuga nii õnnelik
pos	Raha teeb ka õnnelikuks, peale kõige muu
pos	Võimatult ilus koht!
neg	Ei mõista neid inimesi, kes käivad vetsus ja käsi ei pese..????
neu	Armastust ei näe silmadega, vaid südamega - W. Shakespeare
pos	Tere põhjanaabrid! 
pos	Publik on valmis!
neu	Jobbatical sai eelmisel aastal 2,9 miljoni euro eest investeeringuid ja kasutajaid oli 196 riigist… https://t.co/tyPwwUkohm
pos	Elagu Eesti! 
pos	Täna peeti laulupidu!
neu	Raskete tagajärgedega raudteeõnnetuste arv on suurenenud
neg	Pea 2 tundi tööl olnud juba täna ja mul on juba siiber.
neg	Kuradi kari idikaid miks keegi ei kuula mind ja tulemus käes.
neg	Täitsa perses lugu!
pos	Eilne oli IMELINE!
pos	Jaanitulele sammusin. Aitah!
pos	Pill lõhki ja hääl ära- igati kordaläinud pidu! 
pos	Kodumaiselt kodune @ Tallinna Lauluväljak
neu	XI Laulu- ja Tantsupidu
neu	Kaks laulijat, üks noor ja teine vana...
pos	Meie jääme, hoolimata mida ilmataat ka ei otsutaks, tahame tantsida! 
neu	Pikem kokkuvõte: Eesti ministrid tutvustasid nädala jooksul EP komisjonides eesistumise tööplaane
neu	Kokkuvõte juuli täiskogust: Eesti eesistumise prioriteedid, suhted Türgiga, toodete eluea pikendamine
neu	Türgi liitumiskõnelused ELiga tuleb peatada, kui põhiseadusreformi pakett jõustub muutmata kujul
neu	Rände algpõhjustega tegelemine: ELi investeerimisplaan lähteriikide suunal sai täiskogult toetuse
neu	Järelvaadatav: peaminister @ratasjuri tutvustas täiskogul Eesti eesistumise prioriteete
neu	Pressikonverents kell 16.30
neu	OTSE: pressikonverentsil @EP_President Tajani & peaminister @ratasjuri
neg	mitte miski ei saa olla halvem,kui see,et su parimal sõbrannal on halb tuju..
neg	ma vihkan seda, kui mul pea või kurk valutab ja on nii halb olla, et ma hakkan põhimõtteliselt nutma
neg	Krampis keha Süda peksab Mötted jooksevad Pea käib ringi Halb on olla Tahan minema siit!
neg	Ausalt see bussijama nii halb et nii halb on olla
neg	palun laske mulle kuul pähe mul on nii halb olla
neu	See film ei saa halb olla kui seal on Zac ja The Rock
neg	Üksi elamise vastu pole mul muidu miskit, aga kui öösel üles ärkad õudusunenäo peale, vot see on ikka väga halb tunne olla üksi
neg	Appi kui halb on hommikuti purjus olla
neg	tegelikult ma pole halb ja kuri inimene aga tura kui raske on olla tolerantne nende kaitumishairimustega autistide vastu
pos	Isegi kui ma olen kurb või mul on väga halb olla naeratan ma liiga palju
neg	Oh millal ükskord nähakse, kui halb on olla eestlane?
neg	Holy fuck kui raske on vaadata kuidas su sõbrannal on halb olla
neg	mul on nii halb olla
pos	Lapsed, hea uudis: kui te saate suureks, võite süüa jäätist liitrite viisi lõunaks.
neg	Kuradi siga!
neg	Kui sul on nii halb olla et isegi tobile ei jõua minna, kuid siiski pole lootus läinud
pos	Kulturnikutel on vist väga hea meel, et Sirp Kenderi käest kunagi ikkagi päästeti :D
pos	mul on nii hea meel et me oma torustikku ümber vedama ei pea, sest susan pidi ja see oli hullumaja
pos	Mul heameel, et me köik hästi läbi saame.
pos	Tegelikult on mul nii hea meel, et sul kõik nii sitasti läheb.
pos	mul on hea meel, et ma pole oma probleemiga üksi.
pos	Igast jobude kommentaare vaadates on mul hea meel, et enamus mu sõpru on vabatahtlikult ja vingumata ajateenistusse läinud
pos	Vinni vallavanem: kogu vallarahval on nelikute sünni üle hea meel, teeme kindlasti perele meeldiva üllatuse! 
neu	sõitsin just 20min sipelgast retke teele (kahe peatuse vahe on ca. 500m).
pos	Mul on hea meel et nad ei laienda/korrigeeri kõige busymaid teid.
pos	Ei salli sind, aga mul on niiii kuradi hea meel, et sul hästi läheb!!
pos	Mul on nii heameel et saan omada sellist sõpra nagu merka @MerilynJarvsaar 
pos	baltic pride - mul on nii hea meel näha kogu seda armastust! 
pos	Parem hilja kui mitte kunagi, ütleb setu vanasõna.
neu	Oleksin vinge?
neu	Erik Moora: Suured uudised, väiksed uudised ... 
neu	USA plaanib peale mereväe õppusi Mustal merel saata Ukrainasse Island-klassi piirivalve laevad.
neu	Aasia kuulitõuke meister jäi dopinguga vahele
neu	Jaemüüja lühikeseks müüdud aktsia teeb investoreile meelehärmi http://dlvr.it/PWgk0K
neu	Abikaasa süütamises süüdistatava Süüria sõjapõgeniku advokaat: tegemist oli õnnetusega
neu	Aastaga läksid kaubad ja teenused kallimaks.
neu	Juhtimisõiguseta naine sõitis vastu liiklusmärgi posti ja seejärel kortermaja trepikotta, kaks inimest said viga
neu	Tarbijahinnaindeks kasvas juunis aastaga 2,9 protsenti
neg	Kadri Liik: Trumpi ja Putini esmakohtumiselt pole palju oodata
neu	OTSE kell 11: IRL tutvustab Tallinna linnapeakandidaati
pos	Head uudised!
neu	ESN võistluse tähtaega pikendati 10. juulini!
pos	Kõige lahedam allveelaev, mida hiljuti näinud oleme
neu	Kilogramm on suhteline suurus, nagu iga turulkäija teab
neu	Täht pole ühes galaktikas kinni
pos	Suurepärased uudised: hetkel mängivad Vassiljevi klubi Piast ja Käidi tööandja Fulham.
neu	Postimees 160 - väärikas lehes väärikad uudised... 
neu	OÜ Izi Credit sai Finantsinspektsioonilt krediidiandja ja hüpoteekkrediidiandja tegevusloa http://bit.ly/2uIzZsO
neu	Haanja vallavanem Juri Gotmans osaleb Euroopa Regioonide Komitee töös 
pos	Head uudised on alati jagamist väärt! :) 
neu	Samsungi kurikuulus nutitelefon Galaxy Note 7 jõuab taas müügile
pos	3-9. juuli: uusi videomänge: rahulik nädal, aga midagi toredat siiski leidub
neu	Kontaveit kohtub paarismängu avaringis eelmise aasta Prantsuse lahtiste veerandfinalistiga
neu	Elektrilevi avastas mullu 1301 elektrivargust
neu	Uus lõhkematerjaliseadus alandab võimsa ilutulestiku ostmise vanusepiiri
neu	Ökonomist: Eesti võib viieprotsendilisest majanduskasvust vaid unistada
neu	NASCAR-i meestel (ja naistel) tekib seda sõidukõlbmatut kola ikka pidevalt juurde.
neu	Huvitav, et laulupidu pole @ERR_Uudised TOP1 uudis.
neu	Vaata, kus Soomes rahvaarv väheneb, kus kasvab
pos	Värske uudised ja põnevad videolood otse Sinu telefonist! 
neg	Halvad uudised Poolast. 
neg	Pole maja, pole probleemi.
neg	Sitta kah, elame üle. 
neg	hahaha istun bussis tripin tallinna ja mingi vend lôugab yle bussi "sitta kah tômbame selle peo kàima" ja pani puhtalt laudurit
pos	Mul pole õnneks terves maailmas täisnimekaimu. 
neg	Perekonnanimigi on üle ilma vaid viiel elus inimesel :-) 
neg	algul oled nagu "ah järgmine nädal teeb tolle eksami ära" siis nagu "ah sitta kah jätame jaanuarisse"
neg	See on see nkn ei juhtu aga sitta kah "rt"
pos	Teate kui tore on pesulaud olla:kannad, mida tahad ja nagunii midagi näha pole, sest pole midagi vaadata 
neg	Päris tore olla, kui inimene ise enda lollusest minu näo täis sõimab
neg	Suvel on ikka nii tore haige olla.
neg	4real ei jaksa olla rõõmus üle päeva.. 1 päev kõik vga tore ja ilus ja teine päev mingid tülid..
neg	see on kõige hullem asi kui sul on mega fun olla ja kõik on tore ja siis lambist keset vanalinna tekib migreenihoog ja tunne et tahaks surra
neg	Kurvikas neiu on nii kaua tore olla, kuni suvel palava ilmaga reied omavahel hõõruma hakkavad :)))
neg	Tahaks magama minna, et homme ülikooli katseteks olla puhanud....aga eii, sest olen üks närvipundar.....nii küll tore ei ole
neu	Laulmine on tore, a ei paranda riigi probleeme.
neg	Tra hästi tehtud! :D
neg	Oli olla tore tööl 23,24,25 pühad mis sugused
neg	Tore küll suvel nohu ja kurguvaluga olla
pos	Tore et sulle meeldib "fuckboy" olla, aga sa võiksid teiste tunnetega ikka arvestada.
pos	Väga tore, et seadusloome on kiire. 
neu	inimestega koos olla on tore, aga ilma nendeta on veel toredam.
neg	MS võib omaarust olla tore firma, aga mine nende lehele EA või XBOS-le gold kontot tegema, on see kõik ikka täiesti eelmine sajand
pos	Nii tore on olla maailmakaardil! 
neg	Nii tore saan jälle jaaanide ajal tööl olla :)))
pos	väga tore ja sümpaatne on olla aasta vanem, kidz te ei tule mind sõimama
neu	IRL püüdleb selle poole, et olla vähemalt sama hea ja tore kui EKRE. 
pos	See on nii tore kui öeldakse, et minu ja mu sõprade seltskonnas on nii tore olla 
pos	tore on taas kodus olla
neg	ta võib vahepeal taitsa fun ja tore olla aga kui ta tujutsemine algab ega siis väga enam nii tore ei ole jah
pos	Küll on tore olla terve ja podcasti teha!
neg	tore on olla kakajunn
neg	Mdea tore on fuusika tunnis olla, kui midagi aru ei saa
neg	Nii tore on haiglas istuda ja kurb olla. :(
neg	Tore on enne beebsu tähtsat päeva 38.6 palavikus olla
neg	hästi "tore" on olla
neg	nii tore on purjus olla
pos	Uskumatu kui tore on kaine olla kui kõik teised purjus on, suutsin beerbongi võistlustel juua ainult jäävett
neg	Putsi kui ma kirjutan sulle ja olen tore, siis ürita ka palun olla tore, eksole?
neu	Tarmo Urb vihtus menusarja "Tuvikesed" staariga tantsu: me seal musutame, pigistame kanni, jube tore olla, aga pub… 

